#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Nostoc piscinale CENA21	CENA21	-	SAMN03796038 	PRJNA288507	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001298445.1 	7.09456	40.5	chromosome:NZ_CP012036.1/CP012036.1	-	1	6101	5229	2015/09/24	2016/04/06	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001298445.1_ASM129844v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001298445.1_ASM129844v1
Geminocystis sp. NIES-3708	NIES-3708	-	SAMD00025579 	PRJDB3512	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548095.1 	4.04208	32.3045	chromosome Unknown:NZ_AP014815.1/AP014815.1; plasmid pGM01:NZ_AP014816.1/AP014816.1; plasmid pGM02:NZ_AP014817.1/AP014817.1; plasmid pGM03:NZ_AP014818.1/AP014818.1; plasmid pGM04:NZ_AP014819.1/AP014819.1; plasmid pGM05:NZ_AP014820.1/AP014820.1	-	6	3533	3370	2015/03/18	2016/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548095.1_Gm3709_assembly_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548095.1_Gm3709_assembly_1.0
Geminocystis sp. NIES-3709	NIES-3709	-	SAMD00027151 	PRJDB3579	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548115.1 	4.42606	33.3154	chromosome Unknown:NZ_AP014821.1/AP014821.1; plasmid pGM3709_01:NZ_AP014822.1/AP014822.1; plasmid pGM3709_02:NZ_AP014823.1/AP014823.1; plasmid pGM3709_03:NZ_AP014824.1/AP014824.1; plasmid pGM3709_04:NZ_AP014825.1/AP014825.1; plasmid pGM3709_05:NZ_AP014826.1/AP014826.1; plasmid pGM3709_06:NZ_AP014827.1/AP014827.1; plasmid pGM3709_07:NZ_AP014828.1/AP014828.1; plasmid pGM3709_08:NZ_AP014829.1/AP014829.1; plasmid pGM3709_09:NZ_AP014830.1/AP014830.1; plasmid pGM3709_10:NZ_AP014831.1/AP014831.1; plasmid pGM3709_11:NZ_AP014832.1/AP014832.1	-	12	3772	3605	2015/03/18	2016/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548115.1_Gm3709_assembly_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548115.1_Gm3709_assembly_1.0
Cyanothece sp. PCC 8801	PCC 8801	19209	SAMN00000280 	PRJNA20503	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000021805.1 	4.78769	39.7959	chromosome:NC_011726.1/CP001287.1; plasmid pP880101:NC_011721.1/CP001288.1; plasmid pP880102:NC_011723.1/CP001289.1; plasmid pP880103:NC_011727.1/CP001290.1	-	4	4444	4300	2008/12/17	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021805.1_ASM2180v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021805.1_ASM2180v1
Fischerella sp. NIES-3754	NIES-3754	19221	SAMD00042785 	PRJDB4348	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548455.1 	5.82686	40.9919	chromosome Unknown:NZ_AP017305.1/AP017305.1; plasmid pFIS3754-01:NZ_AP017306.1/AP017306.1; plasmid pFIS3754-02:NZ_AP017307.1/AP017307.1	-	3	4767	4571	2015/12/05	2016/03/28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548455.1_ASM154845v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548455.1_ASM154845v1
Calothrix sp. PCC 7507	PCC 7507	21570	SAMN02261328 	PRJNA158683	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316575.1 	7.02322	42.2	chromosome:NC_019682.1/CP003943.1	-	1	5988	5783	2012/12/04	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316575.1_ASM31657v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316575.1_ASM31657v1
Nostoc sp. PCC 7524	PCC 7524	21568	SAMN02261333 	PRJNA158707	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316645.1 	6.71887	41.4991	chromosome:NC_019684.1/CP003552.1; plasmid pNOS7524.01:NC_019677.1/CP003553.1; plasmid pNOS7524.02:NC_019685.1/CP003554.1	-	3	5508	5326	2012/12/04	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316645.1_ASM31664v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316645.1_ASM31664v1
Synechococcus sp. JA-3-3Ab	JA-3-3Ab	19203	SAMN02604048 	PRJNA16251	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000013205.1 	2.93277	60.2	chromosome:NC_007775.1/CP000239.1	-	1	2726	2590	2006/02/06	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000013205.1_ASM1320v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013205.1_ASM1320v1
Arthrospira platensis YZ	YZ	19229	SAMN04192332 	PRJNA299041	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001611905.1 	6.52077	44.2	chromosome:NZ_CP013008.1/CP013008.1	-	1	5903	5284	2016/04/06	2016/04/08	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001611905.1_ASM161190v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001611905.1_ASM161190v1
Microcystis aeruginosa NIES-2549	NIES-2549	19214	SAMN03480410 	PRJNA280892	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000981785.1 	4.29421	42.9	chromosome:NZ_CP011304.1/CP011304.1	-	1	3938	3756	2015/04/29	2015/08/31	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000981785.1_ASM98178v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000981785.1_ASM98178v1
Synechococcus elongatus PCC 7942	PCC 7942	19206	SAMN02598254 	PRJNA10645	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000012525.1 	2.74227	55.456	chromosome:NC_007604.1/CP000100.1; plasmid 1:NC_007595.1/CP000101.1	-	2	2713	2655	2005/11/08	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012525.1_ASM1252v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012525.1_ASM1252v1
Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	19183	SAMEA3138209 	PRJNA213	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000011465.1 	1.65799	30.8	chromosome:NC_005072.1/BX548174.1	-	1	1830	1777	2003/08/14	2015/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011465.1_ASM1146v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011465.1_ASM1146v1
Prochlorococcus marinus str. MIT 9313	MIT9313	19189	SAMEA3138210 	PRJNA220	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000011485.1 	2.41087	50.7	chromosome:NC_005071.1/BX548175.1	-	1	2426	2339	2003/08/14	2015/08/19	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011485.1_ASM1148v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011485.1_ASM1148v1
Microcystis aeruginosa NIES-2481	NIES-2481	19214	SAMN03955402 	PRJNA291808	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001704955.1 	4.29301	42.9	chromosome:NZ_CP012375.1/CP012375.1	-	1	3952	3734	2016/08/15	2016/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001704955.1_ASM170495v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001704955.1_ASM170495v1
Arthrospira platensis C1	C1	19229	SAMN02470135 	PRJNA67617	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000307915.1 	6.08921	44.8	chromosome:NZ_CM001632.1/CM001632.1	AFXD01	1	5225	4852	2012/09/24	2015/08/15	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000307915.1_ASM30791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000307915.1_ASM30791v1
Synechococcus sp. JA-2-3B'a(2-13)	JA-2-3B'a(2-13)	19204	SAMN02604049 	PRJNA16252	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000013225.1 	3.04668	58.5	chromosome:NC_007776.1/CP000240.1	-	1	2794	2705	2006/02/06	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000013225.1_ASM1322v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013225.1_ASM1322v1
Nostoc sp. PCC 7107	PCC 7107	21569	SAMN02261332 	PRJNA158705	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316625.1 	6.32982	40.4	chromosome:NC_019676.1/CP003548.1	-	1	5406	5200	2012/12/04	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316625.1_ASM31662v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316625.1_ASM31662v1
Synechocystis sp. PCC 6803	GT-S	19208	SAMD00060991 	PRJDA67081	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000270265.1 	3.5711	47.7	chromosome:NC_017277.1/AP012205.1	-	1	3289	3224	2011/07/02	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000270265.1_ASM27026v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000270265.1_ASM27026v1
Calothrix sp. PCC 6303	PCC 6303	21575	SAMN02261327 	PRJNA158041	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317435.1 	6.96039	39.8015	chromosome:NC_019751.1/CP003610.1; plasmid pCAL6303.01:NC_019727.1/CP003611.1; plasmid pCAL6303.02:NC_019728.1/CP003612.1; plasmid pCAL6303.03:NC_019752.1/CP003613.1	-	4	5635	5433	2012/12/06	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317435.1_ASM31743v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317435.1_ASM31743v1
Anabaena sp. wa102	WA102	21574	SAMN03568000 	PRJNA282166	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001277295.1 	5.78203	38.3841	chromosome:NZ_CP011456.1/CP011456.1; plasmid unnamed:NZ_CP011457.1/CP011457.1	-	2	5162	4880	2015/09/01	2015/09/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001277295.1_ASM127729v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001277295.1_ASM127729v1
Cyanothece sp. PCC 7424	PCC 7424	19216	SAMN00000286 	PRJNA20479	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000021825.1 	6.55417	38.5033	chromosome:NC_011729.1/CP001291.1; plasmid pP742401:NC_011738.1/CP001292.1; plasmid pP742402:NC_011737.1/CP001293.1; plasmid pP742403:NC_011730.1/CP001294.1; plasmid pP742404:NC_011732.1/CP001295.1; plasmid pP742405:NC_011733.1/CP001296.1; plasmid pP742406:NC_011734.1/CP001297.1	-	7	5786	5600	2008/12/17	2015/07/31	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021825.1_ASM2182v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021825.1_ASM2182v1
Prochlorococcus sp. MIT 0604	MIT 0604	34962	SAMN02769551 	PRJNA246696	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000757845.1 	1.78006	31.2	chromosome:NZ_CP007753.1/CP007753.1	-	1	1941	1885	2014/09/25	2015/08/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000757845.1_ASM75784v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000757845.1_ASM75784v1
Cyanothece sp. PCC 7425	PCC 7425	19232	SAMN00000655 	PRJNA28337	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000022045.1 	5.78611	50.6603	chromosome:NC_011884.1/CP001344.1; plasmid pP742501:NC_011880.1/CP001345.1; plasmid pP742502:NC_011885.1/CP001346.1; plasmid pP742503:NC_011882.1/CP001347.1	-	4	5317	5120	2009/01/09	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022045.1_ASM2204v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022045.1_ASM2204v1
Synechocystis sp. PCC 6803 substr. GT-I		19208	SAMD00061000 	PRJDA72559	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000284135.1 	3.57	47.7	chromosome:NC_017038.1/AP012276.1	-	1	3289	3221	2011/12/02	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284135.1_ASM28413v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284135.1_ASM28413v1
Nostoc sp. NIES-3756	NIES-3756	-	SAMD00042755 	PRJDB4341	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548375.1 	6.98757	-	chromosome Unknown:NZ_AP017295.1/AP017295.1; plasmid pNOS3756_1:NZ_AP017296.1/AP017296.1; plasmid pNOS3756_2:NZ_AP017297.1/AP017297.1	-	3	5861	5645	2015/11/18	2016/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548375.1_ASM154837v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548375.1_ASM154837v1
Synechococcus sp. CC9311	CC9311	19190	SAMN02604031 	PRJNA12530	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000014585.1 	2.60675	52.4	chromosome:NC_008319.1/CP000435.1	-	1	2690	2627	2006/09/01	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000014585.1_ASM1458v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014585.1_ASM1458v1
Prochlorococcus marinus str. NATL2A	NATL2A	19185	SAMN00623057 	PRJNA13911	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000012465.1 	1.8429	35.1	chromosome:NC_007335.2/CP000095.2	-	1	1981	1930	2005/08/09	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012465.1_ASM1246v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012465.1_ASM1246v1
Prochlorococcus marinus str. MIT 9312	MIT 9312	19181	SAMN02598321 	PRJNA13910	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000012645.1 	1.7092	31.2	chromosome:NC_007577.1/CP000111.1	-	1	1864	1815	2005/11/02	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012645.1_ASM1264v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012645.1_ASM1264v1
Synechococcus sp. PCC 7002	PCC 7002; ATCC 27264	19207	SAMN01081740 	PRJNA28247	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000019485.1 	3.40993	49.1616	chromosome:NC_010475.1/CP000951.1; plasmid pAQ1:NC_010476.1/CP000952.1; plasmid pAQ3:NC_010477.1/CP000953.1; plasmid pAQ4:NC_010478.1/CP000954.1; plasmid pAQ5:NC_010479.1/CP000955.1; plasmid pAQ6:NC_010480.1/CP000956.1; plasmid pAQ7:NC_010474.1/CP000957.1	-	7	3203	3121	2008/03/14	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019485.1_ASM1948v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019485.1_ASM1948v1
Leptolyngbya sp. PCC 7376		21541	SAMN02232033 	PRJNA43487	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316605.1 	5.12595	43.9	chromosome:NC_019683.1/CP003946.1	-	1	4612	4407	2012/12/04	2015/08/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316605.1_ASM31660v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316605.1_ASM31660v1
Synechocystis sp. PCC 6803 substr. PCC-N		19208	SAMD00061001 	PRJDA72561	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000284215.1 	3.5701	47.7	chromosome:NC_017052.1/AP012277.1	-	1	3298	3231	2011/12/02	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284215.1_ASM28421v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284215.1_ASM28421v1
Cyanothece sp. PCC 7822	PCC 7822	19215	SAMN00000663 	PRJNA28535	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000147335.1 	7.84195	39.874	chromosome:NC_014501.1/CP002198.1; plasmid Cy782201:NC_014533.1/CP002199.1; plasmid Cy782202:NC_014534.1/CP002200.1; plasmid Cy782203:NC_014502.1/CP002201.1; plasmid Cy782204:NC_014503.1/CP002202.1; plasmid Cy782205:NC_014504.1/CP002203.1; plasmid Cy782206:NC_014535.1/CP002204.1	-	7	6834	6625	2010/09/15	2016/05/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000147335.1_ASM14733v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000147335.1_ASM14733v1
Synechocystis sp. PCC 6803 substr. PCC-P		19208	SAMD00060999 	PRJDA72557	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000284455.1 	3.57011	47.7	chromosome:NC_017039.1/AP012278.1	-	1	3300	3233	2011/12/02	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284455.1_ASM28445v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284455.1_ASM28445v1
Prochlorococcus marinus str. MIT 9515	MIT 9515	19184	SAMN02603924 	PRJNA13617	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000015665.1 	1.70418	30.8	chromosome:NC_008817.1/CP000552.1	-	1	1835	1784	2007/01/19	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015665.1_ASM1566v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015665.1_ASM1566v1
Prochlorococcus marinus str. MIT 9215	MIT 9215	34962	SAMN02598410 	PRJNA18633	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000018065.1 	1.73879	31.1	chromosome:NC_009840.1/CP000825.1	-	1	1899	1840	2007/09/20	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018065.1_ASM1806v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018065.1_ASM1806v1
Synechococcus sp. WH 7803		19192	SAMEA3138264 	PRJNA13642	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000063505.1 	2.36698	60.2	chromosome:NC_009481.1/CT971583.1	-	1	2505	2439	2007/05/19	2015/08/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000063505.1_ASM6350v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000063505.1_ASM6350v1
Synechocystis sp. PCC 6803	PCC 6803	19208	SAMN02603388 	PRJNA80481	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000340785.1 	3.94931	47.3461	chromosome:NC_020286.1/CP003265.1; plasmid pCA2.4_M:NC_020289.1/CP003270.1; plasmid pCB2.4_M:NC_020298.1/CP003271.1; plasmid pCC5.2_M:NC_020290.1/CP003272.1; plasmid pSYSA_M:NC_020287.1/CP003267.1; plasmid pSYSG_M:NC_020288.1/CP003268.1; plasmid pSYSM_M:NC_020296.1/CP003266.1; plasmid pSYSX_M:NC_020297.1/CP003269.1	-	8	3686	3618	2013/02/19	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000340785.1_ASM34078v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000340785.1_ASM34078v1
Cyanothece sp. PCC 8802	PCC 8802	19209	SAMN00000634 	PRJNA28339	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000024045.1 	4.80335	39.7978	chromosome:NC_013161.1/CP001701.1; plasmid pP880201:NC_013160.1/CP001702.1; plasmid pP880202:NC_013163.1/CP001703.1; plasmid pP880203:NC_013167.1/CP001704.1; plasmid pP880204:NC_013168.1/CP001705.1	-	5	4475	4347	2009/08/26	2015/07/31	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000024045.1_ASM2404v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000024045.1_ASM2404v1
Synechocystis sp. PCC 6714	PCC 6714	19208	SAMN02471775 	PRJNA176824	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000478825.2 	3.73889	47.5391	chromosome:NZ_CP007542.1/CP007542.1; plasmid pSYLA:NZ_CP007543.1/CP007543.1; plasmid pSYLB:NZ_CP007544.1/CP007544.1; plasmid pSYLC:NZ_CP007545.1/CP007545.1	-	4	3438	3293	2014/07/09	2015/08/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000478825.2_ASM47882v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000478825.2_ASM47882v2
Leptolyngbya sp. O-77	O-77	-	SAMD00045841 	PRJDB4517	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548395.1 	5.48026	55.9	chromosome Unknown:AP017367.1	-	1	4917	4865	2016/01/29	2016/01/29	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548395.1_ASM154839v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548395.1_ASM154839v1
Synechococcus sp. RCC307		19188	SAMEA3138265 	PRJNA13654	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000063525.1 	2.22491	60.8	chromosome:NC_009482.1/CT978603.1	-	1	2415	2348	2007/05/19	2015/08/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000063525.1_ASM6352v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000063525.1_ASM6352v1
Prochlorococcus marinus str. MIT 9211	MIT9211	19187	SAMN00622972 	PRJNA13551	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000018585.1 	1.68896	38	chromosome:NC_009976.1/CP000878.1	-	1	1806	1748	2007/11/13	2015/10/19	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018585.1_ASM1858v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018585.1_ASM1858v1
Leptolyngbya sp. NIES-3755	NIES-3755	-	SAMD00042786 	PRJDB4349	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001548435.1 	6.76166	46.6565	chromosome Unknown:AP017308.1; plasmid plasmid1:AP017309.1; plasmid plasmid2:AP017310.1; plasmid plasmid3:AP017311.1	-	4	6712	6635	2015/12/09	2015/12/09	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001548435.1_ASM154843v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001548435.1_ASM154843v1
Synechocystis sp. PCC 6803	PCC 6803 substr. GT-G	19208	SAMN04111259 	PRJNA296927	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001318385.1 	3.5692	47.7	chromosome:NZ_CP012832.1/CP012832.1	-	1	3301	3232	2015/10/16	2016/01/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001318385.1_ASM131838v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001318385.1_ASM131838v1
Prochlorococcus marinus str. AS9601	AS9601	34962	SAMN02603921 	PRJNA13548	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000015645.1 	1.66989	31.3	chromosome:NC_008816.1/CP000551.1	-	1	1822	1769	2007/01/19	2015/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015645.1_ASM1564v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015645.1_ASM1564v1
Prochlorococcus marinus str. NATL1A	NATL1A	19185	SAMN02603287 	PRJNA15660	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000015685.1 	1.86473	35	chromosome:NC_008819.1/CP000553.1	-	1	2010	1954	2007/01/22	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015685.1_ASM1568v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015685.1_ASM1568v1
Prochlorococcus marinus str. MIT 9303	MIT 9303	19189	SAMN02603917 	PRJNA13496	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000015705.1 	2.68268	50	chromosome:NC_008820.1/CP000554.1	-	1	2608	2504	2007/01/22	2016/04/26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015705.1_ASM1570v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015705.1_ASM1570v1
Prochlorococcus marinus str. MIT 9301	MIT 9301	34962	SAMN02603288 	PRJNA15746	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000015965.1 	1.64188	31.3	chromosome:NC_009091.1/CP000576.1	-	1	1819	1774	2007/03/05	2015/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015965.1_ASM1596v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015965.1_ASM1596v1
Synechococcus sp. KORDI-100	KORDI-100	34998	SAMN02202183 	PRJNA207982	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000737535.1 	2.789	57.5	chromosome:NZ_CP006269.1/CP006269.1	-	1	2853	2781	2014/08/04	2015/08/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000737535.1_ASM73753v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000737535.1_ASM73753v1
Synechococcus sp. KORDI-49	KORDI-49	32659	SAMN02202184 	PRJNA207983	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000737575.1 	2.58581	61.4	chromosome:NZ_CP006270.1/CP006270.1	-	1	2578	2512	2014/08/04	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000737575.1_ASM73757v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000737575.1_ASM73757v1
Synechococcus sp. KORDI-52	KORDI-52	19197	SAMN02202185 	PRJNA207984	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000737595.1 	2.57207	59.1	chromosome:NZ_CP006271.1/CP006271.1	-	1	2642	2555	2014/08/04	2015/08/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000737595.1_ASM73759v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000737595.1_ASM73759v1
